PROJECT_ID,BUG_ID,FRAME,SLOC,MAX_FRAME,BOTSING_SUCCESSFUL,GZOLTAR_SUCCESSFUL,DEFECTIVE_STATEMENT,GREEN_TEST_CASES,RED_TEST_CASES_HUMAN,RED_TEST_CASES_BOTSING,EXAM_HUMAN,EXAM_BOTSING,EXAM_HUMAN-BOTSING,SL_HUMAN,SL_BOTSING,SL_HUMAN-BOTSING,CATEGORY,DESCRIPTION
Chart,4,1,46751,6,Y,Y,org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501,409,22,1,52,22,50,0.51796977028281,0.1280368799329,0.52641089819165,SUPERIOR,Generated test case exposes the bug perfectly. The diff in performance is due to fact that the generated test case is the only failing test case in the experiment compared the 22 test cases in the human dataset.
Chart,4,2,46751,6,Y,Y,org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501,409,22,1,52,20,49,0.51796977028281,0.1280368799329,0.52641089819165,SUPERIOR,Generated test case exposes the bug perfectly. The diff in performance is due to fact that the generated test case is the only failing test case in the experiment compared the 22 test cases in the human dataset.
Chart,4,3,46751,6,Y,Y,org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501,409,22,1,52,22,52,0.51796977028281,0.1280368799329,0.52641089819165,SUPERIOR,Generated test case exposes the bug perfectly. The diff in performance is due to fact that the generated test case is the only failing test case in the experiment compared the 22 test cases in the human dataset.
Chart,4,4,46751,6,Y,Y,org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501,409,22,1,52,19,50,0.51796977028281,0.1280368799329,0.52641089819165,SUPERIOR,Generated test case exposes the bug perfectly. The diff in performance is due to fact that the generated test case is the only failing test case in the experiment compared the 22 test cases in the human dataset.
Chart,4,5,46751,6,Y,Y,org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501,409,22,1,52,14,49,0.51796977028281,0.1280368799329,0.52641089819165,SUPERIOR,Generated test case exposes the bug perfectly. The diff in performance is due to fact that the generated test case is the only failing test case in the experiment compared the 22 test cases in the human dataset.
Chart,4,6,46751,6,Y,N,org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501,,,,,,,,,,OTHER,Cannot mock/spy class PlotOrientation in the generated test case.
Lang,1,1,2880,2,Y,Y,org.apache.commons.lang3.math$NumberUtils:468 org.apache.commons.lang3.math$NumberUtils:471 org.apache.commons.lang3.math$NumberUtils:467,172,1,1,1,0,2,0.5,0,0.35355339059327,NO_DEFECTIVE_FRAME,Defective frame is not in the stack-trace.
Lang,1,2,2880,2,Y,Y,org.apache.commons.lang3.math$NumberUtils:468 org.apache.commons.lang3.math$NumberUtils:471 org.apache.commons.lang3.math$NumberUtils:467,172,1,1,1,1,1,0.5,0.5,0.63245553203368,FAILS_AFTER_FIX,"Test case will lead you to the crash, however the input given should always result in this exception. However the bug is that the createNumber() method does not handle long hex numbers."
Lang,2,1,161,1,Y,Y,org.apache.commons.lang3$LocaleUtils:92,13,1,1,2,2,2,0.40824829046386,0.40824829046386,0.53452248382485,FAILS_AFTER_FIX,"Test case will lead you to the crash, however the input given should always result in this exception. However the bug is that string containing a # should be rejected"
Lang,5,1,140,1,Y,Y,org.apache.commons.lang3$LocaleUtils:97 org.apache.commons.lang3$LocaleUtils:128,12,1,1,2,2,2,0.44721359549996,0.44721359549996,0.57735026918963,FAILS_AFTER_FIX,"Test case will lead you to the crash, however the input given should always result in this exception. However the bug is that input should start with an underscore"
Lang,6,1,5033,3,N,N,org.apache.commons.lang3.text.translate$CharSequenceTranslator:95,,,,,,,,,,OTHER,
Lang,9,4,1449,10,Y,Y,org.apache.commons.lang3.time$FastDateParser:144,157,2,1,20,0,28,0.13671718540493,0,0.11162911443719,WRONG_STACK_TRACE,Wrong stack-trace replication.
Lang,9,5,1449,10,Y,Y,org.apache.commons.lang3.time$FastDateParser:144,157,2,1,20,0,28,0.13671718540493,0,0.11162911443719,WRONG_STACK_TRACE,Wrong stack-trace replication.
Lang,12,2,98,2,Y,Y,org.apache.commons.lang3$RandomStringUtils:230 org.apache.commons.lang3$RandomStringUtils:232 org.apache.commons.lang3$RandomStringUtils:238,8,2,1,2,4,2,0.70710678118655,0.57735026918963,0.77459666924148,FAILS_AFTER_FIX,The input for the second parameter should be <code>(String) null</code> to trigger the bug.
Lang,16,1,2927,1,Y,Y,org.apache.commons.lang3.math$NumberUtils:458,163,1,1,2,2,2,0.57735026918963,0.57735026918963,0.70710678118655,FAILS_AFTER_FIX,"Test case will lead you to the crash, however the input given should always result in this exception. However the bug is that the createNumber() method does not handle uppercase hex numbers"
Lang,19,1,116,3,Y,Y,org.apache.commons.lang3.text.translate$NumericEntityUnescaper:40 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:54 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:80 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:50 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:79,30,2,1,4,1,3,0.42640143271122,0.44721359549996,0.5,SUPERIOR,"The Botsing test case works better because it has only one assert in the test, therefor GZoltar can better handle the failing test case. As in the human test case, a good execution will be marked as failing."
Lang,19,2,116,3,Y,Y,org.apache.commons.lang3.text.translate$NumericEntityUnescaper:40 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:54 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:80 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:50 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:79,30,2,1,4,1,3,0.42640143271122,0.44721359549996,0.5,SUPERIOR,"The Botsing test case works better because it has only one assert in the test, therefor GZoltar can better handle the failing test case. As in the human test case, a good execution will be marked as failing."
Lang,27,1,2849,1,Y,Y,org.apache.commons.lang3.math$NumberUtils:479 org.apache.commons.lang3.math$NumberUtils:489,109,1,1,16,1,1,0.70710678118655,0.70710678118655,0.81649658092773,SUPERIOR,"The Botsing test case works better because it has only one assert in the test, therefor GZoltar can better handle the failing test case. As in the human test case, a good execution will be marked as failing."
Lang,33,1,2237,1,Y,Y,org.apache.commons.lang3$ClassUtils:910,254,1,1,1,1,1,1,1,1,EQUIVALENT,Generated test case exposes the bug perfectly. Exception is thrown when an array containing a null element is passed into the function <code>toClass(Object[] array)</code>
Lang,35,1,1606,2,Y,Y,org.apache.commons.lang3$ArrayUtils:3295 org.apache.commons.lang3$ArrayUtils:3574,794,1,1,1,0,1,1,0,0.70710678118655,WRONG_STACK_TRACE,Wrong stack-trace replication.
Lang,35,2,1606,2,Y,Y,org.apache.commons.lang3$ArrayUtils:3295 org.apache.commons.lang3$ArrayUtils:3574,794,1,1,1,0,1,1,0,0.70710678118655,WRONG_STACK_TRACE,Wrong stack-trace replication
Lang,36,1,2708,1,Y,Y,org.apache.commons.lang3.math$NumberUtils:491 org.apache.commons.lang3.math$NumberUtils:1387,108,2,1,2,2,2,0.81649658092773,0.70710678118655,0.86602540378444,FAILS_AFTER_FIX,Test case fails after fix. The test cases violates one of the preconditions.
Lang,39,1,1836,2,Y,Y,org.apache.commons.lang3$StringUtils:3676,522,1,1,3,2,2,0.70710678118655,0.70710678118655,0.81649658092773,SUPERIOR,"The Botsing test case works better because it has only one assert in the test, therefor GZoltar can better handle the failing test case. As in the human test case, a good execution will be marked as failing."
Lang,39,2,1836,2,Y,Y,org.apache.commons.lang3$StringUtils:3676,522,1,1,3,2,2,0.70710678118655,0.70710678118655,0.81649658092773,SUPERIOR,"The Botsing test case works better because it has only one assert in the test, therefor GZoltar can better handle the failing test case. As in the human test case, a good execution will be marked as failing."
Lang,44,1,331,1,N,N,org.apache.commons.lang$NumberUtils:145,,,,,,,,,,OTHER,
Lang,45,1,2063,1,Y,Y,org.apache.commons.lang$WordUtils:618,81,1,1,1,1,1,1,1,1,EQUIVALENT,"Invalid defective statement (Line 616 should be line 618), as 616 is a comment line."
Lang,47,1,1749,1,Y,Y,org.apache.commons.lang.text$StrBuilder:1186 org.apache.commons.lang.text$StrBuilder:1230,204,2,1,2,1,2,0.40824829046386,0.57735026918963,0.57735026918963,SUPERIOR,"Generated test case exposes the bug perfectly. The bug is thrown when appending to a null value if the variable <code>nullText</code> has not been set. It is performing better because it only executed the malicious code once. The human written cases test both the PadLeft and PadRight methods, therefore the getNullText() method will be executed twice and with becomes the statement with the highest SL."
Lang,51,1,291,1,Y,Y,org.apache.commons.lang$BooleanUtils:671,189,1,1,1,1,1,1,1,1,EQUIVALENT,Generated test case exposes the bug perfectly. Invalid defective statement to 682 should be 671.
Lang,54,1,134,1,Y,Y,org.apache.commons.lang$LocaleUtils:114,11,1,1,2,2,2,0.57735026918963,0.57735026918963,0.70710678118655,FAILS_AFTER_FIX,"Test case will lead you to the crash, however the input given should always result in this exception. However the bug is that input with only lanuage + variant is rejected"
Lang,57,1,314,1,Y,Y,org.apache.commons.lang$LocaleUtils:223,0,11,1,1,1,1,1,1,1,EQUIVALENT,Generated test case exposes the bug perfectly
Math,1,2,3966,2,Y,Y,org.apache.commons.math3.fraction$Fraction:215 org.apache.commons.math3.fraction$BigFraction:306,311,2,1,9,7,7,0.5,0.70710678118655,0.66666666666667,FAILS_AFTER_FIX,"Test case will lead you to the crash, however the input given should always result in this exception. However the bug is that 0.500000000001 should be Â½"
Math,4,1,5420,3,Y,Y,org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116,50,2,1,6,0,19,0.26726124191242,0,0.21821789023599,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered.
Math,4,2,5420,3,Y,Y,org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116,50,2,1,6,0,17,0.26726124191242,0,0.21821789023599,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered.
Math,4,3,5420,3,Y,Y,org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116,50,2,1,6,8,7,0.26726124191242,0.37796447300923,0.40824829046386,INFERIOR,Generated test case exposes the bug perfectly. The bug is caused when trying to intersect two parallel lines. The difference in performance is caused by the way in which the line segments are created.
Math,8,1,2028,1,N,N,org.apache.commons.math3.distribution$DiscreteDistribution:181 org.apache.commons.math3.distribution$DiscreteDistribution:187,,,,,,,,,,OTHER,
Math,31,2,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,3,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,4,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,5,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,6,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
